"m_id";"m_poster";"m_trailer";"m_category";"m_name";"m_cast";"m_release_date";"m_duration";"short_desc";"long_desc";"m_country";"m_lang"
1;"imageschhichhore.jpg";"imagesChhichhoreTrailer.mp4";"comedy";"Chhichhore";"Shraddha Kapoor, Tahir Bhasin, Sushant Singh Rajput,Tushar Pandey";"2019-09-06";"2hours 23min";"Raghav, son of high achieving parents succumbs to the pressure
that comes with cut-throat entrance exams.";"As he battles for life in a hospital, 
his parents regroup with their friends after decades. Together, this older generation, 
goes on a nostalgia trip reminiscing their college days, hoping their 
bittersweet memories will help save a teenager, who has lost all will to live.";"India";"Hindi"
2;"imagesDream_Girl.png";"imagesDreamgirl_trailer.mp4";"comedy";"Dream Girl";"Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor,Manjot Singh, Vijay Raaz,
Abhishek Banerjee";"2019-09-13";"2hours 12min";"Dream Girl is a 2019 Indian Hindi-language 
comedy film directed by Raaj Shaandilyaa and co-produced by Ekta Kapoor 
and Shobha Kapoor under their banner Balaji Motion Pictures";"Desperate to find employment, 
Karam picks up a job as ‘Pooja’ at a call center for sex chats, 
keeping most people in his life in the dark about the nature of his work. 
How long can he keep it up before everyone 
including his girlfriend and father find out";"India";"hindi"
3;"imagesTotaldhamaal.jpg";"images	otaldhammal_trailer.mp4";"comedy";"Total Dhamaal";" Ajay Devgn,Anil Kapoor,Madhuri Dixit,Riteish Deshmukh,Arshad Warsi
";"2019-02-22";"2hours 20min";"When a plane carrying a thiefs treasure crashes in Janakpur, 
a group of eccentric people and 
seasoned con artists compete against 
each other to find it first.";"Ajay Devgn and Sanjai Mishra,
 a bickering couple Anil Kapoor and Madhuri Dixit who are on a verge of divorce,
 a fireman Riteish Deshmukh and his side-kick played by Pitobash Tripathy, greedy siblings Adi
 and Arshad Warsi and Boman Irani set out on a mad chase for a 
 hidden booty of Rs 50 crores in a zoo in Janakpur. In a run-time of over two hours, we are treated to 
 crash-landing helicopters,flooding rivers and some bonding with animals.
";"India";"hindi"
4;"imageszoyafactor.jpg";"imageszoyafactor_trailer.mp4";"comedy";"The Zoya Factor";"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor
";"2019-09-20";"2hours 14min";"Based Anuja Chauhans novel, Zoya Factor is a rom-com about Zoya, 
an advertising agent and
 her relationship with the captain of team India, Nikhil Khoda.";"The story revolves around a Rajput
 girl, Zoya Solanki, an executive in an advertising agency. She ends up becoming a lucky charm for the 
 Indian Cricket team during the 2011 Cricket World Cup. Nikhil Khoda(Dulquer) play the Indian
 Cricket Team captain and Zoyas love interest.
";"India";"hindi"
5;"imagesheraferi.jpg";"imagesheraferi_trailer.mp4";"comedy";"Hera Feri";"Akshay Kumar, Sunil Shetty, Paresh Rawal
";"2000-03-31";"2hours 36min";"Three unemployed men find the answer to all their money problems when
 they receive a call from a kidnapper. 
However, things do not go as planned.";"Baburao is a landlord in India, who is very near-sighted, 
and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several 
months.  The three men quarrel amongst themselves frequently.
 Then one day, the three men get a phone call from a kidnapper named Kabira, and decide to make use of 
 this phone call to overcome their financial problems, keep the incremental amount for themselves.
";"India";"hindi"
6;"imagesAvengers.jpg";"imagesAvengers_trailer.mp4";"action";"Avengers:Endgame";"Robert Downey Jr, Chris Evans,  Brie Larson,  Tom Holland
";"2019-04-26";"3hours 2min";"With the help of remaining allies, the Avengers assemble once more in 
order to reverse Thanos 
actions and restore balance to the universe.";"After half of all life is snapped away by Thanos,
 the Avengers are left scattered and divided. Along the way, the Avengers realize that sacrifices must 
 be made as they prepare 
 for the ultimate final showdown with Thanos, 
which will result in the heroes fighting the biggest battle they have ever faced.
";"United States";"english"
7;"imageskabir-singh.jpg";"imageskabirsingh_trailer.mp4";"action";"Kabir Singh";"Shahid Kapoor,Kiara Advani,Soham Majumdar
";"2019-06-21";"2hours 52min";"Kabir Singh is a remake of a Telugu movie, where a 
short-tempered 
house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.";"Kabir Rajdheer Singh is a house surgeon at Delhi Institute of Medical Sciences in New Delhi, India.
 Despite being a brilliant student, he has severe anger management problems that earn the wrath of the
 dean of the college. Kabirs aggressive nature also earns him a reputation among his juniors as a
 college bully.
";"India";"hindi"
8;"imagessingham.jpg";"imagessingham_trailer.mp4";"action";"Singham";"Ajay
 Devgn, Kajal Aggarwal,Prakash Raj";"2011-07-22";"2 hours 23min";"After taking charge as the DSP of 
 Singham Khurd, Dilsher Sikhon sets out to end the drug addiction among the 
 youth of Punjab.";"Singham opens with an honest police officer in Goa, Rakesh Kadam,
 committing suicide because of false accusations of corruption filed by Jaikant Shikre 
 a don and politician in Goa running various rackets like kidnapping,but cannot find any support or 
 help from the police or Minister Anant Narwekar";"India";"Hindi"
9;"imagesMission_Mangal.jpg";"imagesmission_trailer.mp4";"action";"Mission Mangal";" Akshay Kumar,Vidya Balan,Vikram Gokhale";"2019-08-15";"2 hours 23min";"It is loosely
 based on the life
 of scientists at the Indian Space Research Organisation who contributed to the Mars Orbiter Mission.";"Earlier, Akshay Kumar had said during the films promotion:Ive made this film mainly for children, 
 so that they feel encouraged to become scientists. Scientist as a profession is not very likeable,
 but now after ISROs launch of the Chandrayaan, people are gradually becoming more aware of it and
 taking interest in it.";"India";"Hindi"
10;"imagesconjuring2.jpg";"imagesconjuring_trailer.mp4";"horror";"The 
Conjuring 2";" Vera Farmiga,Patrick Wilson,Madison Wolfe,
 Frances OConnor";"2016-06-10";"2 hours 14min";"Ed and Lorraine Warren travel to North
 London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.";"A true story of 1977 Enfield paranormal investigation by Ed and Lorraine Warren at Hodsons. After 
 sensing her daughter to be possessed, Peggy Hodson asks for help which comes from Ed and Lorraine. 
 However, there something more threatening not only for the inhabitants but also and
 specially more for the invetigator-couple than what is happening; which they couldn t even imagine.";"America";"English"
